time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
1.240002,0.923970,0.923132,-0.141312,-0.141272,-0.056636,-0.059852
1.245002,0.934376,0.935668,-0.143662,-0.144102,-0.058557,-0.062159
1.250002,0.942219,0.941967,-0.145500,-0.145574,-0.059831,-0.063176
1.255003,0.947801,0.948714,-0.146924,-0.147292,-0.060561,-0.064054
1.260003,0.951458,0.951666,-0.148015,-0.148169,-0.060838,-0.064275
1.265003,0.953516,0.954190,-0.148832,-0.149159,-0.060731,-0.064147
1.270003,0.954349,0.954881,-0.149392,-0.149611,-0.060254,-0.063764
1.275004,0.954293,0.954866,-0.149719,-0.150012,-0.059439,-0.062786
1.280004,0.953644,0.954378,-0.149837,-0.150113,-0.058322,-0.061892
1.285004,0.952543,0.953099,-0.149767,-0.150039,-0.056941,-0.060236
1.290004,0.950607,0.951595,-0.149532,-0.149859,-0.055335,-0.058953
1.295004,0.947228,0.947583,-0.149081,-0.149327,-0.053430,-0.056665
1.300005,0.941798,0.943282,-0.148345,-0.148746,-0.051132,-0.054827
1.305005,0.933771,0.933696,-0.147286,-0.147485,-0.048418,-0.051568
1.310005,0.922673,0.924858,-0.145888,-0.146373,-0.045297,-0.049068
1.315005,0.908257,0.907611,-0.144177,-0.144334,-0.041850,-0.044931
1.320006,0.890536,0.893466,-0.142179,-0.142743,-0.038148,-0.041967
1.325006,0.869690,0.868509,-0.139903,-0.140023,-0.034246,-0.037280
1.330006,0.845994,0.849579,-0.137313,-0.137961,-0.030148,-0.034000
1.335006,0.819819,0.818230,-0.134371,-0.134446,-0.025859,-0.028852
1.340007,0.791656,0.795725,-0.131115,-0.131851,-0.021458,-0.025328
1.345007,0.762007,0.760202,-0.127534,-0.127567,-0.016972,-0.019940
1.350007,0.731310,0.735670,-0.123616,-0.124443,-0.012423,-0.016296
1.355007,0.699888,0.698013,-0.119360,-0.119351,-0.007845,-0.010799
1.360008,0.667970,0.672505,-0.114838,-0.115741,-0.003329,-0.007179
1.365008,0.635732,0.633863,-0.110109,-0.110080,0.001069,-0.001893
1.370008,0.603328,0.607964,-0.105185,-0.106150,0.005334,0.001524
1.375008,0.570842,0.569018,-0.100035,-0.099983,0.009475,0.006502
1.380008,0.538297,0.543004,-0.094654,-0.095686,0.013488,0.009719
1.385009,0.505648,0.503855,-0.089074,-0.089004,0.017346,0.014358
1.390009,0.472816,0.477609,-0.083341,-0.084426,0.021019,0.017303
1.395009,0.439738,0.437941,-0.077484,-0.077411,0.024483,0.021470
1.400009,0.406365,0.411259,-0.071573,-0.072689,0.027702,0.024053
1.405010,0.372650,0.370824,-0.065586,-0.065513,0.030689,0.027648
1.410010,0.338565,0.343568,-0.059489,-0.060642,0.033457,0.029870
1.415010,0.304171,0.302316,-0.053240,-0.053154,0.036023,0.032961
1.420010,0.269553,0.274633,-0.046896,-0.048084,0.038366,0.034844
1.425011,0.234737,0.232870,-0.040494,-0.040408,0.040468,0.037379
1.430011,0.199780,0.204911,-0.034031,-0.035241,0.042327,0.038875
1.435011,0.164792,0.162936,-0.027534,-0.027451,0.043934,0.040816
1.440011,0.129866,0.135001,-0.021063,-0.022274,0.045278,0.041899
1.445011,0.095088,0.093277,-0.014720,-0.014666,0.046351,0.043200
1.450012,0.060570,0.065664,-0.008542,-0.009726,0.047163,0.043858
1.455012,0.026399,0.024665,-0.002484,-0.002458,0.047729,0.044548
1.460012,-0.007336,-0.002324,0.003472,0.002306,0.048060,0.044821
1.465012,-0.040530,-0.042157,0.009330,0.009337,0.048174,0.044970
1.470013,-0.073073,-0.068195,0.015105,0.013957,0.048081,0.044903
1.475013,-0.104897,-0.106387,0.020792,0.020782,0.047791,0.044566
1.480013,-0.136009,-0.131282,0.026356,0.025235,0.047313,0.044191
1.485013,-0.166368,-0.167719,0.031746,0.031707,0.046666,0.043426
1.490014,-0.195939,-0.191385,0.036945,0.035867,0.045869,0.042795
1.495014,-0.224575,-0.225760,0.042007,0.041945,0.044928,0.041676
1.500014,-0.252201,-0.247869,0.046942,0.045896,0.043853,0.040822
1.505014,-0.278761,-0.279753,0.051753,0.051672,0.042654,0.039394
1.510015,-0.304226,-0.300137,0.056399,0.055394,0.041361,0.038365
1.515015,-0.328551,-0.329343,0.060784,0.060661,0.040021,0.036766
1.520015,-0.351733,-0.347900,0.064852,0.063921,0.038670,0.035689
0.005000,-1.000001,-1.000000,-0.000347,-0.000217
0.010000,-1.000004,-1.000002,-0.000962,-0.000621
0.015000,-1.000012,-1.000007,-0.001676,-0.001523
0.020000,-1.000023,-1.000014,-0.002631,-0.002288
0.025000,-1.000040,-1.000030,-0.003897,-0.003622
0.030000,-1.000064,-1.000046,-0.005670,-0.004985
0.035000,-1.000098,-1.000081,-0.007369,-0.007116
0.040000,-1.000138,-1.000110,-0.008245,-0.007918
0.045000,-1.000182,-1.000160,-0.009328,-0.009143
0.050000,-1.000233,-1.000197,-0.010622,-0.010298
0.055000,-1.000289,-1.000261,-0.011481,-0.011291
0.060000,-1.000348,-1.000307,-0.012186,-0.011904
0.065000,-1.000410,-1.000380,-0.012557,-0.012346
0.070000,-1.000473,-1.000429,-0.012661,-0.012496
0.075000,-1.000537,-1.000504,-0.012890,-0.012611
0.080000,-1.000604,-1.000555,-0.013556,-0.013037
0.085000,-1.000675,-1.000636,-0.014803,-0.014401
0.090000,-1.000752,-1.000694,-0.015737,-0.015310
0.095000,-1.000833,-1.000787,-0.016449,-0.016092
0.100000,-1.000917,-1.000852,-0.017099,-0.016532
0.105000,-1.001006,-1.000954,-0.017991,-0.017595
0.110000,-1.001098,-1.001024,-0.018870,-0.018256
0.115000,-1.001194,-1.001136,-0.019369,-0.019026
0.120000,-1.001291,-1.001212,-0.019458,-0.019087
0.125000,-1.001388,-1.001326,-0.019587,-0.019149
0.130000,-1.001488,-1.001403,-0.020133,-0.019447
0.135000,-1.001590,-1.001521,-0.020760,-0.020139
0.140000,-1.001696,-1.001602,-0.021376,-0.020568
0.145000,-1.001805,-1.001728,-0.021879,-0.021320
0.150000,-1.001915,-1.001813,-0.022313,-0.021699
0.155000,-1.002027,-1.001944,-0.022234,-0.021752
0.160000,-1.002138,-1.002031,-0.022139,-0.021576
0.165000,-1.002249,-1.002160,-0.022149,-0.021632
0.170000,-1.002359,-1.002247,-0.022030,-0.021482
0.175000,-1.002469,-1.002376,-0.021831,-0.021325
0.180000,-1.002578,-1.002461,-0.021728,-0.021187
0.185000,-1.002687,-1.002588,-0.021938,-0.021446
0.190000,-1.002796,-1.002674,-0.021831,-0.021498
0.195000,-1.002903,-1.002802,-0.020917,-0.020467
0.200000,-1.003006,-1.002883,-0.020568,-0.020071
0.205000,-1.003109,-1.003003,-0.020549,-0.019964
0.210000,-1.003212,-1.003083,-0.020493,-0.020043
0.215000,-1.003312,-1.003202,-0.019948,-0.019438
0.220000,-1.003411,-1.003279,-0.019537,-0.019019
0.225000,-1.003508,-1.003393,-0.019265,-0.018710
0.230000,-1.003604,-1.003467,-0.019194,-0.018516
0.235000,-1.003700,-1.003579,-0.019385,-0.018627
0.240000,-1.003799,-1.003654,-0.019962,-0.019109
0.245000,-1.003899,-1.003770,-0.020093,-0.019447
0.250000,-1.004000,-1.003847,-0.019982,-0.019291
0.255000,-1.004099,-1.003963,-0.019609,-0.018960
0.260000,-1.004194,-1.004038,-0.018885,-0.018477
0.265000,-1.004287,-1.004147,-0.018360,-0.017775
0.270000,-1.004377,-1.004218,-0.017970,-0.017326
0.275000,-1.004467,-1.004321,-0.017717,-0.017017
0.280000,-1.004555,-1.004389,-0.017512,-0.016952
0.285000,-1.004641,-1.004490,-0.017207,-0.016524
0.290000,-1.004727,-1.004556,-0.017212,-0.016520
0.295000,-1.004812,-1.004655,-0.016906,-0.016348
0.300000,-1.004895,-1.004721,-0.016334,-0.016029
0.305000,-1.004975,-1.004815,-0.015528,-0.015037
0.310000,-1.005050,-1.004874,-0.014621,-0.014357
0.314999,-1.005119,-1.004957,-0.013199,-0.012603
0.319999,-1.005180,-1.005006,-0.011849,-0.011487
0.324999,-1.005237,-1.005073,-0.011108,-0.010496
0.329999,-1.005291,-1.005114,-0.010628,-0.009907
0.334999,-1.005343,-1.005173,-0.010407,-0.009676
0.339999,-1.005394,-1.005211,-0.009983,-0.009428
0.344999,-1.005442,-1.005266,-0.009297,-0.008638
0.349999,-1.005486,-1.005300,-0.008302,-0.007767
0.354999,-1.005524,-1.005344,-0.007277,-0.006530
0.359999,-1.005557,-1.005369,-0.006312,-0.005720
0.364999,-1.005587,-1.005402,-0.005713,-0.004877
0.369999,-1.005614,-1.005421,-0.005211,-0.004382
0.374999,-1.005639,-1.005447,-0.004719,-0.003990
