time, Quad1.PosFollowErr, Quad2.PosFollowErr, Quad3.PosFollowErr
2.255019,0.038436,0.000788,0.050162
2.260019,0.038104,0.000823,0.050245
2.265018,0.037605,0.000900,0.050370
2.270018,0.037272,0.000965,0.050453
2.275017,0.036774,0.001080,0.050579
2.280017,0.036443,0.001166,0.050662
2.285017,0.035950,0.001309,0.050787
2.290016,0.035626,0.001412,0.050869
2.295016,0.035144,0.001576,0.050991
2.300016,0.034826,0.001690,0.051072
2.305015,0.034356,0.001865,0.051191
2.310015,0.034047,0.001985,0.051270
2.315015,0.033593,0.002169,0.051385
2.320014,0.033295,0.002294,0.051461
2.325014,0.032856,0.002485,0.051573
2.330014,0.032570,0.002613,0.051646
2.335013,0.032151,0.002805,0.051753
2.340013,0.031878,0.002932,0.051822
2.345012,0.031480,0.003122,0.051924
2.350012,0.031224,0.003246,0.051990
2.355012,0.030852,0.003430,0.052085
2.360011,0.030613,0.003550,0.052146
2.365011,0.030270,0.003725,0.052234
2.370011,0.030049,0.003837,0.052290
2.375010,0.029733,0.004001,0.052370
2.380010,0.029532,0.004105,0.052420
2.385010,0.029244,0.004256,0.052490
2.390009,0.029063,0.004351,0.052533
2.395009,0.028807,0.004488,0.052594
2.400008,0.028645,0.004574,0.052631
2.405008,0.028417,0.004696,0.052682
2.410008,0.028273,0.004772,0.052712
2.415007,0.028071,0.004879,0.052752
2.420007,0.027945,0.004944,0.052775
2.425007,0.027766,0.005035,0.052805
2.430006,0.027655,0.005089,0.052820
2.435006,0.027498,0.005163,0.052839
2.440006,0.027400,0.005207,0.052847
2.445005,0.027266,0.005264,0.052854
2.450005,0.027184,0.005296,0.052855
2.455004,0.027072,0.005335,0.052850
2.460004,0.027004,0.005355,0.052844
2.465004,0.026910,0.005377,0.052828
2.470003,0.026854,0.005385,0.052815
2.475003,0.026778,0.005389,0.052790
2.480003,0.026732,0.005385,0.052769
2.485002,0.026669,0.005370,0.052735
2.490002,0.026630,0.005354,0.052708
2.495002,0.026575,0.005321,0.052665
2.500001,0.026539,0.005293,0.052633
2.505001,0.026489,0.005243,0.052582
2.510000,0.026456,0.005204,0.052545
2.515000,0.026408,0.005137,0.052486
2.520000,0.026378,0.005087,0.052444
2.524999,0.026333,0.005005,0.052377
2.529999,0.026302,0.004945,0.052330
2.534999,0.026255,0.004848,0.052255
2.539998,0.026224,0.004779,0.052202
2.544998,0.026177,0.004668,0.052120
